,toponym,pid,type,scale
775,Arid Point,15696,point,4
776,Ariel Rocks,14313,rocks,4
777,Ariels Tarns,15697,lake,4
778,Arikanihi Stream,15698,stream,3
779,Ariki,15699,populated place,4
780,Ariki Falls,15700,waterfall(s),5
781,Arikirau,15703,hill,5
782,Arikirau,15704,hill,5
783,Arikirau Stream,15705,stream,3
784,Ariki Tuhoe Cliffs,15701,cliff(s),4
785,Ariki Tuhoe Stream,15702,stream,3
786,Arimawhai Point,15706,point,4
787,Arizona Stream,15707,stream,3
788,Ark,15708,hill,5
789,Arkles Bay,15709,bay,3
790,Arkles Bay,56141,bay,3
791,Armada Bluff,15710,cliff(s),4
792,Armadillo Saddle,172,pass,4
793,Armchair,173,hill,5
794,Armchair Island,15712,island,4
795,Armchair Stream,15713,stream,3
796,Armers Beach,15714,beach,3
797,Armistice Peak,174,hill,5
798,Armour Bay,175,bay,3
799,Armour Stream,176,stream,3
800,Armoury Glacier,177,glacier(s),4
801,Armstrong Creek,179,stream,3
802,Armstrong Gully,180,gorge(s),5
803,Armstrong Saddle,182,pass,4
804,Armstrongs Creek,15718,stream,3
805,Armstrongs Creek,15717,stream,3
806,Army Bay,15719,bay,3
807,Army Bay,15720,bay,3
808,Army Creek,15721,stream,3
809,Arnett Peak,15722,hill,5
810,Arnetts Creek,15723,stream,3
811,Arno,15724,locality,4
812,Arnold Creek,15725,stream,3
813,Arnold River,15726,stream,3
814,Arnolds Creek,15728,stream,3
815,Arnold Stream,15727,stream,3
816,Arnott Creek,183,stream,3
817,Arnott Point,15729,point,4
818,Arnott Water,15730,stream,3
819,Arnst Gully,49660,gorge(s),5
820,Arnst River,184,stream,3
821,Aroaro Bay,185,bay,3
822,Aroaro Stream,15731,stream,3
823,Aroaro Stream,15732,stream,3
824,Aroha Island,15733,island,4
825,Arohaki Bay,15734,bay,3
826,Arohena,15735,locality,4
827,Aroma Gully,15736,gorge(s),5
828,Aronui Stream,15737,stream,3
829,Aropaoanui River,187,stream,3
830,Aropawa Bay,15738,bay,3
831,Aroronga Stream,15739,stream,3
832,Aro Valley,56248,section of populated place,3
833,Arowhana,15740,hill,5
834,Arowhana Stream,15741,stream,3
835,Arowhata Stream,15742,stream,3
836,Arowhenua,58599,locality,4
837,Arowhenua,15743,locality,4
838,Arowhenua Pa,15744,historical site,5
839,Arran Bay,15745,bay,3
840,Arran Island,15746,island,4
841,Arrow Face,189,cliff(s),4
842,Arrow Junction,59759,road,3
843,Arrow River,15747,stream,3
844,Arrow Rocks,15749,island,4
845,Arrowsmith Range,15750,mountains,2
846,Arrowtown,15751,administrative division,3
847,Artemis Peak,190,hill,5
848,Arthur Creek,15754,stream,3
849,Arthur Creek,15752,stream,3
850,Arthur Creek,15757,stream,3
851,Arthur Creek,15755,stream,3
852,Arthur Creek,15758,stream,3
853,Arthur Creek,15753,stream,3
854,Arthur Glacier,15759,glacier(s),4
855,Arthur Range,193,mountains,2
856,Arthur River,15760,stream,3
857,Arthurs Bay,15761,bay,3
858,Arthurs Creek,194,stream,3
859,Arthurs Creek,15764,stream,3
860,Arthurs Creek,15763,stream,3
861,Arthurs Nose,15765,point,4
862,Arthur's Pass,196,locality,4
863,Arthur's Pass,195,pass,4
864,Arthur's Pass National Park,55227,park,4
865,Arthurs Point,15766,locality,4
866,Arthurstown,15767,locality,4
867,Arthurton,15768,locality,4
868,Artist Dome,15769,peak,5
869,Aruhepapa Stream,15770,stream,3
870,Aruhiroa Stream,15771,stream,3
871,Arundel,15772,populated place,4
872,Aruwaru,55727,mountain,5
873,Asbestos Creek,15773,stream,3
874,Ascot Park,197,section of populated place,3
875,Ashburton,15776,populated place,4
876,Ashburton Forks,59134,road,3
877,Ashburton Glacier,15777,glacier(s),4
878,Ashburton Gorge,15778,gorge(s),5
879,Ashburton Peak,199,hill,5
880,Ashburton River,55242,stream,3
881,Ashburton River/Hakatere,7299,stream,3
882,Ashcott,15780,locality,4
883,Ash Creek,198,stream,3
884,Ashers,15782,locality,4
885,Ash Hill,15775,mountain,5
886,Ashhurst,15783,populated place,4
887,Ashley,15784,populated place,4
888,Ashley Clinton,15785,populated place,4
889,Ashley Downs,15786,locality,4
890,Ashley Gorge,15787,locality,4
891,Ashley Gorge Drain,15788,canal,4
892,Ashley Head,15789,hill,5
893,Ashley Hill,15790,hill,5
894,Ashley River,55243,stream,3
895,Ashley River/Rakahuri,7300,stream,3
896,Ashley Saddle,15791,pass,4
897,Ashton,15792,populated place,4
898,Ashton Burn,15793,stream,3
899,Ashwick Flat,15794,populated place,4
900,Ashworths Flat,15795,plain(s),3
901,Ashworths Ponds,200,lake,4
902,Ashworths Spit,201,bank(s),4
903,Askews Hill,15796,hill,5
904,Aspinall Peak,202,hill,5
905,Aspiring Flats,203,plain(s),3
906,Assassination Cove,15798,bay,3
907,Assault Glacier,204,glacier(s),4
908,Astelia Stream,206,stream,3
909,Aston,15800,hill,5
910,Astrolabe Roadstead,15801,strait,4
911,Astrologer Creek,15802,stream,3
912,Astronomer Point,15803,point,4
913,Ataahua,15804,farmstead,5
914,Ataata Point,208,point,4
915,Atahaua Creek,15805,stream,3
916,Atapo,15807,locality,4
917,Atarau,15808,locality,4
918,Ataturk Memorial,15809,historical site,5
919,Atau Paparua,209,locality,4
920,Atawhai,15810,populated place,4
921,Atawhitiki Bush,55024,forest(s),2
922,Atbara Creek,15811,stream,3
923,Atea,15812,locality,4
924,Atene Pa,15813,building(s),5
925,Athene Col,210,pass,4
926,Athene Creek,211,stream,3
927,Athenree,15814,locality,4
928,Athlone Hill,15815,hill,5
929,Athlone Stream,213,stream,3
930,Athol,15816,populated place,4
931,Atia Point,15817,point,4
932,Atihau Island,215,island,4
933,Atiu Creek,15819,stream,3
934,Atiu Island,49669,island,4
935,Atiu or Middle Island,216,island,4
936,Atiwhakatu Stream,217,stream,3
937,Atkinson,15820,hill,5
938,Atkinson Stream,218,stream,3
939,Atlas Creek,219,stream,3
940,Atoa,15821,hill,5
941,Atom Creek,15822,stream,3
942,Attempt Hill,15823,mountain,5
943,Atuarere Stream,15825,stream,3
944,Atua Stream,15824,stream,3
945,Atuatumoe Stream,221,stream,3
946,Auahine,15826,hill,5
947,Auahitotara,15827,mountain,5
948,Aubrey Peak,15828,peak,5
949,Auckland Island,49437,island,4
950,Auckland Islands,56684,islands,3
951,Audibert Point,15830,point,4
952,Aukopae,15831,locality,4
953,Aulem Creek,222,stream,3
954,Aunui Stream,15833,stream,3
955,Aupiripiri,15834,hill,5
956,Auraki Stream,15835,stream,3
957,Aurere,15836,locality,4
958,Aurere Beach,15837,beach,3
959,Aurere Stream,15838,stream,3
960,Auripo,15839,railroad station,5
961,Auroa,15840,populated place,4
962,Auroa Point,15841,point,4
963,Aurora Creek,15842,stream,3
964,Aurora Creek,15843,stream,3
965,Aurora Point,15844,point,4
966,Aurum Basin,15846,pan,4
967,Aurum Creek,15847,stream,3
968,Aurupu,15848,hill,5
969,Aussie Bay,15849,bay,3
970,Austral Creek,223,stream,3
971,Australian Reef,14316,reef(s),4
972,Autawa,15850,hill,5
973,Aute Bay,15851,bay,3
974,Auwharewhare Stream,15852,stream,3
975,Ava,15853,section of populated place,3
976,Avalanche Creek,15854,stream,3
977,Avalanche Glacier,15855,glacier(s),4
978,Avalanche Peak,15856,hill,5
979,Avalanche Stream,15857,stream,3
980,Avalon,15858,section of populated place,3
981,Avalon,54831,farmstead,5
982,Avalon Creek,224,stream,3
983,Avalon Peak,225,hill,5
984,Avenal,15859,section of populated place,3
985,Avery,15861,hill,5
986,Aviemore,15862,locality,4
987,Aviemore Dam,58145,dam,5
988,Avoca,15863,railroad station,5
989,Avoca,15864,locality,4
990,Avoca Col,227,pass,4
991,Avoca Glacier,228,glacier(s),4
992,Avoca River,15865,stream,3
993,Avoca River,15866,stream,3
994,Avoca Stream,15867,stream,3
995,Avon Burn,15868,stream,3
996,Avondale,15871,locality,4
997,Avondale,15873,populated place,4
998,Avondale,15872,section of populated place,3
999,Avondale Stream,15874,stream,3
1000,Avonhead,15875,section of populated place,3
1001,Avon River,15869,stream,3
1002,Avon River,55244,stream,3
1003,Avon Saddle,15870,pass,4
1004,Avonside,15876,section of populated place,3
1005,Awaatua Bay,15877,bay,3
1006,Awaawanui Stream,15878,stream,3
1007,Awaawaroa Bay,15879,bay,3
1008,Awaawaroa Bay,15880,bay,3
1009,Awaawaroa Stream,15883,stream,3
1010,Awaawaroa Stream,15881,stream,3
1011,Awaawaroa Stream,15884,stream,3
1012,Awaawaroa Stream,15882,stream,3
1013,Awahahae Stream,15885,stream,3
1014,Awahau Stream,15886,stream,3
1015,Awahoa Bay,15887,bay,3
1016,Awahoa Pa,15888,historical site,5
1017,Awahohonu Stream,15890,stream,3
1018,Awahokomo Creek,15891,stream,3
1019,Awahou,15892,locality,4
1020,Awahou North,15893,locality,4
1021,Awahou Point,54836,point,4
1022,Awahou South,15894,locality,4
1023,Awahou Stream,15897,stream,3
1024,Awahou Stream,15895,stream,3
1025,Awahou Stream,15896,stream,3
1026,Awahuri,15898,populated place,4
1027,Awai Stream,15899,stream,3
1028,Awaiti,15900,locality,4
1029,Awaiti Canal,15902,canal,4
1030,Awaiti Canal,15901,canal,4
1031,Awaiti Stream,15904,stream,3
1032,Awaiti Stream,15903,stream,3
1033,Awaiti Stream,15906,stream,3
1034,Awaiti Stream,15905,stream,3
1035,Awakanae Stream,15907,stream,3
1036,Awakaponga,15908,locality,4
1037,Awakaponga Canal,15909,canal,4
1038,Awakaponga Stream,15910,stream,3
1039,Awakari River,15911,stream,3
1040,Awakari Stream,15912,stream,3
1041,Awakauia Stream,15913,stream,3
1042,Awakeri,15914,populated place,4
1043,Awakeri Springs,15915,locality,4
1044,Awakia Stream,15916,stream,3
1045,Awakino,15917,locality,4
1046,Awakino Creek,15918,stream,3
1047,Awakino Gorge,15919,gorge(s),5
1048,Awakino Point,15920,locality,4
1049,Awakino River,15923,stream,3
1050,Awakino River,15921,stream,3
1051,Awakino River,15922,stream,3
1052,Awakino Stream,15926,stream,3
1053,Awakiriapa Bay,15927,bay,3
1054,Awakohukohu Creek,15928,stream,3
1055,Awamangu,15929,populated place,4
1056,Awamarino,15930,populated place,4
1057,Awamate Lagoons,15931,lake,4
1058,Awamate Stream,15933,stream,3
1059,Awamate Stream,15932,stream,3
1060,Awamoa,56132,farmstead,5
1061,Awamoa Creek,15934,stream,3
1062,Awamoko,15935,locality,4
1063,Awamoko Stream,15936,stream,3
1064,Awamoko Stream,15937,stream,3
1065,Awana,15938,locality,4
1066,Awana Bay,15939,bay,3
1067,Awana Stream,15940,stream,3
1068,Awangarara Stream,15941,stream,3
1069,Awangaro Stream,15942,stream,3
1070,Awanui,15943,locality,4
1071,Awanui,15944,populated place,4
1072,Awanui Channel,15945,stream,3
1073,Awanui Point,15946,point,4
1074,Awanui River,15947,stream,3
1075,Awanui Stream,15949,stream,3
1076,Awanui Stream,15948,stream,3
1077,Awanui Stream,232,stream,3
1078,Awapatu Stream,15950,stream,3
1079,Awapeka Stream,15951,stream,3
1080,Awapikopiko Stream,15952,stream,3
1081,Awapiripiri Stream,15953,stream,3
1082,Awapokanui Stream,15954,stream,3
1083,Awapoko River,15955,stream,3
1084,Awapoto River,15956,stream,3
1085,Awapuni,15957,section of populated place,3
1086,Awapuni,15958,section of populated place,3
1087,Awaraputuna Stream,15959,stream,3
1088,Awarau or Larry River,15960,stream,3
1089,Awarere Stream,15961,stream,3
1090,Awariki,15962,locality,4
1091,Awaroa,15963,locality,4
1092,Awaroa Bay,15964,bay,3
1093,Awaroa Creek,15966,stream,3
1094,Awaroa Creek,56246,stream,3
1095,Awaroa Creek,15965,stream,3
1096,Awaroa Head,15967,cape,5
1097,Awaroa Head,57147,cape,5
1098,Awaroa Inlet,15968,bay,3
1099,Awaroa Point,15969,point,4
1100,Awaroa Point,234,point,4
1101,Awaroa River,15972,stream,3
1102,Awaroa River,15971,stream,3
1103,Awaroa River,15973,stream,3
1104,Awaroa River,15970,stream,3
1105,Awaroa River,15974,stream,3
1106,Awaroa Saddle,15975,pass,4
1107,Awaroa Stream,15982,stream,3
1108,Awaroa Stream,15978,stream,3
1109,Awaroa Stream,15976,stream,3
1110,Awaroa Stream,235,stream,3
1111,Awaroa Stream,15983,stream,3
1112,Awaroa Stream,15981,stream,3
1113,Awaroa Stream,15980,stream,3
1114,Awaroa Stream,15984,stream,3
1115,Awaroa Stream,15977,stream,3
1116,Awaroa Stream,15979,stream,3
1117,Awarua,57689,railroad station,5
1118,Awarua,58604,railroad station,5
1119,Awarua,15986,locality,4
1120,Awarua,15987,populated place,4
1121,Awarua,15985,mountain,5
1122,Awarua Bay,15988,bay,3
1123,Awaruaiti Creek,15995,stream,3
1124,Awarua Plains,15989,plain(s),3
1125,Awarua Point,15990,point,4
1126,Awarua River,15992,stream,3
1127,Awarua River,15991,stream,3
1128,Awarua Rock,15993,rock,5
1129,Awarua Stream,15994,stream,3
1130,Awaruku Creek,15996,stream,3
1131,Awash Rock,15997,island,4
1132,Awash Rock,59210,island,4
1133,Awataha Creek,15998,stream,3
1134,Awataikato Point,15999,point,4
1135,Awatane,16000,locality,4
1136,Awatapu Stream,16001,stream,3
1137,Awatarariki Stream,16002,stream,3
1138,Awatauira Stream,16003,stream,3
1139,Awatea,16004,locality,4
1140,Awatea Peak,237,hill,5
1141,Awatehe Creek,16005,stream,3
1142,Awatere,16006,locality,4
1143,Awatere-iti Stream,16011,stream,3
1144,Awatere River,16008,stream,3
1145,Awatere River,16007,stream,3
1146,Awatere Stream,16010,stream,3
1147,Awatere Stream,16009,stream,3
1148,Awatetake Pa,16012,historical site,5
1149,Awatiritiri Stream,16013,stream,3
1150,Awatoitoi,16014,locality,4
1151,Awatoto,16015,locality,4
1152,Awatui Stream,16016,stream,3
1153,Awatukoro Point,16017,point,4
1154,Awatuna,16019,populated place,4
1155,Awatuna,16018,populated place,4
1156,Awatuna,238,populated place,4
1157,Awatuna,59873,populated place,4
1158,Awatuna Stream,57183,stream,3
1159,Awawaro Stream,16020,stream,3
1160,Awe Burn,16021,stream,3
1161,Awhakauaeroa Marae,16022,reservation,4
1162,Awheaiti Stream,16024,stream,3
1163,Awhea River,16023,stream,3
1164,Awkward Spur,16027,ridge(s),4
1165,Awkward Spur,16028,ridge(s),4
1166,Axehandle Stream,239,stream,3
1167,Axis Spur,16030,ridge(s),4
1168,Axius Flats,240,plain(s),3
1169,Axius Glacier,241,glacier(s),4
1170,Ayers Rock,16033,island,4
1171,Ayesha Stream,243,stream,3
1172,Aylesbury,16034,populated place,4
1173,Aylmers Hill,244,hill,5
1174,Aylmers Stream,245,stream,3
1175,Aynsley Creek,246,stream,3
1176,Ayr Creek,16035,stream,3
1177,Ayrdale Stream,247,stream,3
1178,Baal,16037,hill,5
1179,Baal Spur,16038,ridge(s),4
1180,Baber Creek,249,stream,3
1181,Back Basin,251,pan,4
1182,Back Beach,252,beach,3
1183,Backbone Peak,257,hill,5
1184,Back Bush Stream,253,stream,3
1185,Back Creek,16043,stream,3
1186,Back Creek,16047,stream,3
1187,Back Creek,16045,stream,3
1188,Back Creek,16044,stream,3
1189,Back Creek,16042,stream,3
1190,Back Creek,16046,stream,3
1191,Back Creek,16041,stream,3
1192,Back Peak,254,hill,5
1193,Back Range Stream,255,stream,3
1194,Back River,16049,locality,4
1195,Backstair Creek,16052,stream,3
1196,Back Stream,16050,stream,3
1197,Back Valley,58118,gorge(s),5
1198,Bacon Creek,16053,stream,3
1199,Bacon Stream,258,stream,3
1200,Baddeleys Beach,16055,beach,3
1201,Badmans Flat,16056,plain(s),3
1202,Bad Passage,16054,strait,4
1203,Baffle Ravine,16057,gorge(s),5
1204,Baghdad Creek,259,stream,3
1205,Bagpipe Creek,260,stream,3
1206,Baigent Creek,261,stream,3
1207,Baigents Bush,55125,forest(s),2
1208,Baigent Valley Stream,16059,stream,3
1209,Bain Bay,16060,bay,3
1210,Bainesse,16063,locality,4
1211,Bainham,16064,locality,4
1212,Bainham Creek,16065,stream,3
1213,Bain Hill,16061,hill,5
1214,Bain Pool,16062,lake,4
1215,Bains Gully,16066,gorge(s),5
1216,Baird Range,16067,mountains,2
1217,Bairds Bush,55126,forest(s),2
1218,Baker,59277,mountain,5
1219,Baker Creek,16069,stream,3
1220,Baker Creek,16068,stream,3
1221,Baker Creek,16072,stream,3
1222,Baker Creek,16071,stream,3
1223,Baker Creek,16070,stream,3
1224,Baker Glacier,16073,glacier(s),4
1225,Baker Glacier,16074,glacier(s),4
1226,Baker Glacier,10764,glacier(s),4
1227,Baker Peak,16075,hill,5
1228,Baker Peak,16076,hill,5
1229,Baker Saddle,16077,pass,4
1230,Bakers Bay,16079,bay,3
1231,Bakers Creek,16081,stream,3
1232,Bakers Creek,264,stream,3
1233,Baker Stream,16078,stream,3
1234,Baker Track,263,trail,3
1235,Baking Oven Creek,16082,stream,3
1236,Balaclava,16083,section of populated place,3
1237,Balaclava Basins,265,pan,4
1238,Balaclava Saddle,51346,pass,4
1239,Balaclava Saddle,267,pass,4
1240,Balaena Bay,16084,bay,3
1241,Balance Rock,16085,hill,5
1242,Balancing Rock,268,rock,5
1243,Balcairn,16086,locality,4
1244,Balclutha,16087,administrative division,3
1245,Bald Cone,16088,hill,5
1246,Bald Hill,16091,hill,5
1247,Bald Hill,16092,hill,5
1248,Bald Hill,16096,mountain,5
1249,Bald Hill,16093,hill,5
1250,Bald Hill,16098,hill,5
1251,Bald Hill,16101,hill,5
1252,Bald Hill,16094,hill,5
1253,Bald Hill,16097,hill,5
1254,Bald Hill,16090,hill,5
1255,Bald Hill,16095,mountain,5
1256,Bald Hill,16089,mountain,5
1257,Bald Hill,16099,hill,5
1258,Bald Hill,16102,hill,5
1259,Bald Hill,16100,hill,5
1260,Bald Hills,269,ridge(s),4
1261,Bald Hills,16104,ridge(s),4
1262,Bald Hills Stream,270,stream,3
1263,Bald Knob,271,hill,5
1264,Bald Knob,16105,hill,5
1265,Bald Knob Ridge,16106,ridge(s),4
1266,Bald Mountain,272,hill,5
1267,Bald Peaks,16107,hill,5
1268,Bald Range,16108,mountains,2
1269,Bald Spur,16109,ridge(s),4
1270,Bald Spur Stream,273,stream,3
1271,Baldy,16114,hill,5
1272,Baldy,16110,hill,5
1273,Baldy,16112,hill,5
1274,Baldy,16111,mountain,5
1275,Baldy,16113,hill,5
1276,Baldy Creek,16115,stream,3
1277,Baldy Hill,274,hill,5
1278,Baldy Knob,275,hill,5
1279,Baldy Stream,16116,stream,3
1280,Baleine Point,276,point,4
1281,Balfour,16117,populated place,4
1282,Balfour Glacier,16118,glacier(s),4
1283,Balfour Range,16119,mountains,2
1284,Balfour River,16120,stream,3
1285,Balfour Stream,277,stream,3
1286,Balguerie Stream,279,stream,3
1287,Ballacraggan Stream,16124,stream,3
1288,Ballance,16125,populated place,4
1289,Ballarat Creek,16127,stream,3
1290,Ballarat Creek,16126,stream,3
1291,Ballarat or Dead Mans Creek,16128,stream,3
1292,Ballarat Terrace,16129,plain(s),3
1293,Balleny Reef,14318,reef(s),4
1294,Ball Glacier,49143,glacier(s),4
1295,Ball Glacier,16122,glacier(s),4
1296,Ballium Snowfield,280,glacier(s),4
1297,Ballon Rock,16131,island,4
1298,Balloon Creek,16132,stream,3
1299,Balloon Hill,16133,hill,5
1300,Balloon Loop,16134,stream,3
1301,Balloon Stream,281,stream,3
1302,Ball Pass,16123,pass,4
1303,Ballroom Overhang,282,cave(s),5
1304,Balmacaan Saddle,283,pass,4
1305,Balmacaan Stream,284,stream,3
1306,Balmoral,16135,locality,4
1307,Balmoral,16136,section of populated place,3
1308,Balmoral Stream,16137,stream,3
1309,Balmy Vale,16138,gorge(s),5
1310,Balustrad Cliff,16139,cliff(s),4
1311,Bamford Knob,16140,peak,5
1312,Bandit Peak,287,hill,5
1313,Bandolero Col,288,pass,4
1314,Banjo Creek,16141,stream,3
1315,Bankarts Stream,16142,stream,3
1316,Banks Creek,16143,stream,3
1317,Bankside,16148,populated place,4
1318,Banks Range,16146,mountains,2
1319,Banks Stream,16147,stream,3
1320,Bannatyne Creek,16149,stream,3
1321,Bannie Glacier,16150,glacier(s),4
1322,Bannister,16151,peak,5
1323,Bannister Basin,16152,pan,4
1324,Bannister Precipices,16153,cliff(s),4
1325,Bannock Brae,16154,mountain,5
1326,Bannock Brae Range,16155,mountains,2
1327,Bannockburn,16157,populated place,4
1328,Bannock Burn,16156,stream,3
1329,Barber Stream,16159,stream,3
1330,Barbours Stream,16160,stream,3
1331,Barclay Rock,14319,island,4
1332,Barclays Creek,16162,stream,3
1333,Barcoo Bush,55127,forest(s),2
1334,Bardolph Peak,289,hill,5
1335,Bare Cone,16163,hill,5
1336,Bare Creek,16164,stream,3
1337,Barefell,16172,mountain,5
1338,Barefell Pass,16173,pass,4
1339,Bare Hill,16165,hill,5
1340,Bare Hill,16166,hill,5
1341,Bare Knob,16167,hill,5
1342,Bare Peak,16168,peak,5
1343,Bare Spur,16170,ridge(s),4
1344,Bare Top,16171,hill,5
1345,Barewood Creek,16174,stream,3
1346,Baring Head,55292,point,4
1347,Bark Bay,16176,bay,3
1348,Barkes Corner,16177,locality,4
1349,Barking Dog Hill,290,hill,5
1350,Barkley Glacier,16178,glacier(s),4
1351,Barlow Creek,16179,stream,3
1352,Barlow Glacier,291,glacier(s),4
1353,Barlow River,16180,stream,3
1354,Barlows Pool,293,lake,4
1355,Barnard Stream,294,stream,3
1356,Barn Bay,16182,bay,3
1357,Barn Bay Bluff,16183,cliff(s),4
1358,Barn Creek,16184,stream,3
1359,Barnego,16187,populated place,4
1360,Barnes Stream,16188,stream,3
1361,Barney Creek,16189,stream,3
1362,Barneys Spur,16190,ridge(s),4
1363,Barneys Stream,16192,stream,3
1364,Barneys Stream,295,stream,3
1365,Barneys Stream,16191,stream,3
1366,Barnhill Creek,16193,stream,3
1367,Barn Islands,16185,islands,3
1368,Barn River,16186,stream,3
1369,Barometer,16194,hill,5
1370,Bar Point,16158,point,4
1371,Barrack Creek,16196,stream,3
1372,Barracouta Point,16197,point,4
1373,Barra Stream,298,stream,3
1374,Barren Peak,16198,hill,5
1375,Barrett Lagoon,299,lake,4
1376,Barrett Reef,16199,reef(s),4
1377,Barrhill,16200,populated place,4
1378,Barrier Falls,300,waterfall(s),5
1379,Barrier Falls,16201,waterfall(s),5
1380,Barrier Ice Stream,301,glacier(s),4
1381,Barrier Knob,16202,hill,5
1382,Barrier Peak,16204,hill,5
1383,Barrier Peak,16203,hill,5
1384,Barrier Peaks,16205,mountains,2
